cliente|saldo|historico|soma_pontos|uso_pontos|expirado|avista|soma_avista|aprazo|soma_aprazo|soma_pontualidade|b|c|d|e|f|g|h|i|j|k|l|m|n|o|p|Saldo_historico|
7|3673 |15673 |12024 |12000 |485 |00027|00304|00048|6487.00 |598 |23/10/1999|00000000110000|081|Separado(a)|N|N|02|N|N|00||Não Possui|Nenhum|0030|F|N05|19346|
6|3434 |27434 |1500 |0 |2734 |00028|00000|00014|0.00 |0 |23/10/1999|00013024171220|073|Casado(a)|N|N|00|S|N|00|Até  1.000,00|Não Possui|Nenhum|0020|M|N01|30868|
5|3235 |30235 |13491 |9000 |0 |00045|00292|00168|7684.70 |1138 |23/10/1999|00004321391204|070|Casado(a)|S|S|02|N|S|00|1.001,00-2.000,00|Não Possui|Nenhum|0019|F|N04|33470|
8|2467 |8467 |0 |0 |2311 |00004|00000|00025|0.00 |0 |23/10/1999|00014019711215|063|Casado(a)|N|N|02|N|S|00|Até  1.000,00|Não Possui|Nenhum|0029|M|N07|10934|
9|2924 |29924 |6319 |6000 |0 |00005|00000|00073|3468.00 |651 |23/10/1999|00005384501115|070|Casado(a)|N|S|00|N|N|09|2.001,00-4.000,00|Não Possui|Nenhum|0032|M|N13|32848|
3|1000 |1000 |0 |0 |1000 |00000|00000|00006|0.00 |0 |23/10/1999|00005429217161|066|Solteiro(a)|S|S|02|S|N|05|2.001,00-4.000,00|Compr. de Atividade|Mastercard+Visa|0091|M|N12|2000|
10|1000 |1000 |0 |0 |1000 |00000|00000|00010|0.00 |0 |23/10/1999|00013534871187|063|Casado(a)|S|S|02|S|N|15|2.001,00-4.000,00|Ct-chq/IR (NAO USAR)|Outros/Cartões Lojas|0000|M|N04|2000|
4|1000 |1000 |0 |0 |1000 |00000|00000|00003|0.00 |0 |23/10/1999|00001761017149|083|Casado(a)|S|S|01|S|S|00|1.001,00-2.000,00|Ct-chq/IR (NAO USAR)|Nenhum|0378|M|N12|2000|
2|1283 |1283 |0 |0 |1283 |00002|00000|00004|0.00 |0 |23/10/1999|00007539570251|066|Casado(a)|N|N|03|N|N|21|Até  1.000,00|Não Possui|Nenhum|0008|M|N05|2566|
1|2095 |2095 |0 |0 |2095 |00000|00000|00010|0.00 |0 |23/10/1999|00061438761231|061|Casado(a)|S|S|02|S|N|00|2.001,00-4.000,00|Não Possui|Visa|0149|F|N04|4190|
